Adres,Prijs,Meters,Kamers,Perceel,Tussenwoning,Hoekwoning,Vrijstaand,Jaren-30,Jaren-50,Jaren-60,Jaren-90,Jaren-2000,Jaren-2010
Adriaan van Bergenstraat 47,250000,71,4,92,1,0,0,1,0,0,0,0,0
Jan van Zutphenlaan 56,209500,98,5,123,1,0,0,0,0,1,0,0,0
Prinses irenelaan 126,349500,128,6,114,1,0,0,0,0,0,0,0,1
Hubert Duyfhuysstraat 36,250000,86,4,98,1,0,0,1,0,0,0,0,0
Prinses ireneplateau 125,419000,173,6,99,1,0,0,0,0,0,0,1,0
Balderikstraat 69,225000,83,4,67,1,0,0,1,0,0,0,0,0
Vechtoever 59,549500,165,6,110,1,0,0,0,0,0,1,0,0
Cornelis Dirkszstraat 27,240000,71,4,78,1,0,0,1,0,0,0,0,0
C van maasdijkstraat 13,340000,116,6,115,1,0,0,1,0,0,0,0,0
Fultonstraat 8,349500,100,4,169,1,0,0,1,0,0,0,0,0
Herman modedtraat 32,200000,62,3,66,1,0,0,1,0,0,0,0,0
Jodocus van Lodensteinstraat 37,249000,105,4,71,1,0,0,1,0,0,0,0,0
Adelboldstraat 52,247500,83,5,72,1,0,0,1,0,0,0,0,0
Hanrathstraat 1,219000,84,4,85,1,0,0,1,0,0,0,0,0
Sweder van zuilenweg 61,269000,100,4,90,1,0,0,1,0,0,0,0,0
Amsterdamsestraatweg 913,549000,185,6,405,0,0,1,1,0,0,0,0,0
Amsterdamsestraatweg 983,310000,124,5,253,0,0,1,1,0,0,0,0,0
ter laanstraat 9,325000,135,5,44,1,0,0,0,0,0,0,1,0
marie curielaan 77,242500,77,4,143,0,1,0,0,1,0,0,0,0
jan van zutphenlaan 47,375000,155,5,161,1,0,0,0,0,0,0,1,0
Koppestokstraat 79,245000,81,4,79,1,0,0,1,0,0,0,0,0
c smeenkstraat 55,207000,64,5,95,1,0,0,0,1,0,0,0,0
Wibautstraat 35,375000,155,6,67,1,0,0,0,0,0,0,0,1
burgemeester norbriuslaan 546,359500,168,6,57,1,0,0,0,0,0,0,1,0
Amperestraat 57,215000,100,4,86,1,0,0,1,0,0,0,0,0
Hubert Duyfhuysstraat 26,150000,44,2,84,1,0,0,1,0,0,0,0,0
Balderikstraat 25,229000,82,4,67,1,0,0,1,0,0,0,0,0
jan van zutphenlaan 38,225000,94,4,153,0,1,0,0,0,1,0,0,0
Keucheniusstraat 20,198500,65,2,85,0,0,1,1,0,0,0,0,0
prinses irenelaan 97,319000,105,5,118,1,0,0,0,1,0,0,0,0
jan van zutphenlaan 19,375000,177,5,66,1,0,0,0,0,0,0,1,0
Bessemerlaan 19,365000,100,3,264,0,1,0,1,0,0,0,0,0
Grootmeesterplein 3,259000,115,4,101,0,0,1,0,0,0,0,1,0
cornelis dirkszstraat 38,240000,73,4,107,0,1,0,1,0,0,0,0,0
Daalseweg 195,435000,116,4,155,1,0,0,1,0,0,0,0,0
johannes uiteboogaardstraat 33,250000,105,6,94,1,0,0,1,0,0,0,0,0
m van meelstraat 45,300000,95,5,82,1,0,0,1,0,0,0,0,0
Prinses irenelaan 93,325000,105,5,118,1,0,0,1,0,0,0,0,0
jan van zutphenlaan 51,367500,165,4,169,1,0,0,0,0,0,0,1,0
werner helmichstraat 8,239000,63,3,85,1,0,0,1,0,0,0,0,0
Herman modedtraat 29,265000,79,4,90,1,0,0,1,0,0,0,0,0
prof kohnstamstraat 32,300000,115,3,80,1,0,0,0,0,0,0,0,1
